drg_comb,drg_text_comb,drg_text_short_comb,mdc,nat_ver
086X,"Pleural effusion, w/o CC","Pleural effusion, w/o CC",4.0,est/swe/lat/ice/fin/nor
087C,"Pulmonary edema & respiratory failure, w CC","Pulmonary edema & respiratory failure, w CC",4.0,swe
087M,"Pulmonary edema & respiratory failure, w MCC","Pulmonary edema & respiratory failure, w MCC",4.0,swe
087N,"Pulmonary edema & respiratory failure, w/o CC","Pulmonary edema & respiratory failure, w/o CC",4.0,swe
087O,Doctor visits for pulmonary edema & respiratory failure,Doctor visits for pulmonary edema & respiratory failure,4.0,swe
087X,Pulmonary edema & respiratory failure,Pulmonary edema & respiratory failure,4.0,est/lat/ice/fin/nor
088C,"Chronic obstructive pulmonary diseases, w CC","Chronic obstructive pulmonary diseases, w CC",4.0,swe
088M,"Chronic obstructive pulmonary diseases, w MCC         ","Chronic obstructive pulmonary diseases, w MCC         ",4.0,swe
088N,"Chronic obstructive pulmonary diseases, w/o CC","Chronic obstructive pulmonary diseases, w/o CC",4.0,swe
088O,"Doctor visits for chronic obstructive pulmonary diseases, short therapy","Doctor visits for chronic obstructive pulmonary diseases, short therapy",4.0,swe/nor
088X,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,4.0,est/lat/ice/fin/nor
089X,"Simple pneumonia & pleurisy, age > 17 w cc","Simple pneumonia & pleurisy, age > 17 w cc",4.0,est/lat/ice/fin/nor
090X,"Simple pneumonia & pleurisy, age > 17 w/o cc","Simple pneumonia & pleurisy, age > 17 w/o cc",4.0,est/lat/ice/fin/nor
091A,"Simple pneumonia & pleurisy, age 0-17, w cc","Simple pneumonia & pleurisy, age 0-17, w cc",4.0,est/lat/ice/fin/nor
091B,"Simple pneumonia & pleurisy, age 0-17, w/o cc","Simple pneumonia & pleurisy, age 0-17, w/o cc",4.0,est/lat/ice/fin/nor
091C,"Simple pneumonia & pleurisy, w CC","Simple pneumonia & pleurisy, w CC",4.0,swe
091M,"Simple pneumonia & pleurisy, w MCC","Simple pneumonia & pleurisy, w MCC",4.0,swe
091N,"Simple pneumonia & pleurisy, w/o CC","Simple pneumonia & pleurisy, w/o CC",4.0,swe
091O,Doctor visits for simple pneumonia & pleurisy,Doctor visits for simple pneumonia & pleurisy,4.0,swe
092M,"Interstitial lung disease, w MCC","Interstitial lung disease, w MCC",4.0,swe
092X,Interstitial lung disease w cc,Interstitial lung disease w cc,4.0,est/lat/ice/fin/nor
093O,Doctor visits for interstitial lung diseases,Doctor visits for interstitial lung diseases,4.0,swe
093X,"Interstitial lung disease, w/o CC","Interstitial lung disease, w/o CC",4.0,est/swe/lat/ice/fin/nor
094C,"Pneumothorax, w CC","Pneumothorax, w CC",4.0,swe
094M,"Pneumothorax, w MCC","Pneumothorax, w MCC",4.0,swe
094X,Pneumothorax w cc,Pneumothorax w cc,4.0,est/lat/ice/fin/nor
095O,Doctor visits for pneumothorax,Doctor visits for pneumothorax,4.0,swe
095X,"Pneumothorax, w/o CC","Pneumothorax, w/o CC",4.0,est/swe/lat/ice/fin/nor
096X,"Bronchitis & asthma, age > 17 w cc","Bronchitis & asthma, age > 17 w cc",4.0,est/lat/ice/fin/nor
097O,"Bronchitis & asthma, short therapy","Bronchitis & asthma, short therapy",4.0,nor
097X,"Bronchitis & asthma, age > 17 w/o cc","Bronchitis & asthma, age > 17 w/o cc",4.0,est/lat/ice/fin/nor
098A,"Bronchitis & asthma, age 0-17, w cc","Bronchitis & asthma, age 0-17, w cc",4.0,est/lat/ice/fin/nor
098B,"Bronchitis & asthma, age 0-17, w/o cc","Bronchitis & asthma, age 0-17, w/o cc",4.0,est/lat/ice/fin/nor
098C,"Bronchitis & asthma, w CC","Bronchitis & asthma, w CC",4.0,swe
098M,"Bronchitis & asthma, w MCC","Bronchitis & asthma, w MCC",4.0,swe
098N,"Bronchitis & asthma, w/o CC","Bronchitis & asthma, w/o CC",4.0,swe
098O,Doctor visits for bronchitis & asthma,Doctor visits for bronchitis & asthma,4.0,swe
099C,"Respiratory signs & symptoms, w CC","Respiratory signs & symptoms, w CC",4.0,swe
099M,"Respiratory signs & symptoms, w MCC","Respiratory signs & symptoms, w MCC",4.0,swe
099X,Respiratory signs & symtoms w cc,Respiratory signs & symtoms w cc,4.0,est/lat/ice/fin/nor
100N,"Respiratory signs & symptoms, w/o CC","Respiratory signs & symptoms, w/o CC",4.0,swe
100O,Doctor visits for respiratory signs & symptoms,Doctor visits for respiratory signs & symptoms,4.0,swe
100X,Respiratory signs & symtoms w/o cc,Respiratory signs & symtoms w/o cc,4.0,est/lat/ice/fin/nor
101C,"Other respiratory system diagnoses, w CC","Other respiratory system diagnoses, w CC",4.0,swe
101M,"Other respiratory system diagnoses, w MCC","Other respiratory system diagnoses, w MCC",4.0,swe
101X,Other respiratory system diagnoses w cc,Other respiratory system diagnoses w cc,4.0,est/lat/ice/fin/nor
102N,Other respiratory system diagnoses w/o cc,Other respiratory system diagnoses w/o cc,4.0,swe
102X,Other respiratory system diagnoses w/o cc,Other respiratory system diagnoses w/o cc,4.0,est/lat/ice/fin/nor
103X,Heart transplantation and ventricular assist device,Heart transplantation and ventricular assist device,5.0,est/swe/lat/ice/fin/nor
104A,Single heart valve operations,Single heart valve operations,5.0,est/lat/ice/fin/nor
104B,Multiple heart valve operations or single valve operations w CC,Multiple heart valve operations or single valve operations w,5.0,est/lat/ice/fin/nor
104D,Percutaneous heart valve implantation,Percutaneous heart valve implantation,5.0,est/swe/lat/ice/fin/nor
104G,"Heart valve operations, w CC                 ","Heart valve operations, w CC                 ",5.0,swe
104H,"Heart valve operations, w/o CC","Heart valve operations, w/o CC",5.0,swe
104O,"Cardiac valve procedures with cardiac catheterization, short therapy","Cardiac valve procedures with cardiac catheterization, short therapy",5.0,est/swe/lat/ice/fin/nor
107A,Other coronary bypass without cathetherisation,Other coronary bypass without cathetherisation,5.0,est/lat/ice/fin/nor
107B,Other coronary bypass with cathetherization,Other coronary bypass with cathetherization,5.0,est/swe/lat/ice/fin/nor
107C,Coronary bypass with complex associated procedures or with CC,Coronary bypass with complex associated procedures or with C,5.0,est/lat/ice/fin/nor
107M,"Coronary bypass, w MCC","Coronary bypass, w MCC",5.0,swe
107N,"Other coronary bypass without cathetherization, w/o CC","Other coronary bypass without cathetherization, w/o CC",5.0,swe
107O,"Coronary bypass without cardiac catheterization, short therapy","Coronary bypass without cardiac catheterization, short therapy",5.0,est/swe/lat/ice/fin/nor
108C,"Other cardiothoracic procedures, w cc","Other cardiothoracic procedures, w cc",5.0,swe
108M,"Other cardiothoracic procedures, w MCC","Other cardiothoracic procedures, w MCC",5.0,swe
108N,"Other cardiothoracic procedures, w/o CC","Other cardiothoracic procedures, w/o CC",5.0,swe
108O,"Other cardiothoracic procedures, short therapy","Other cardiothoracic procedures, short therapy",5.0,est/swe/lat/ice/fin/nor
108X,Other cardiothoracic procedures,Other cardiothoracic procedures,5.0,est/lat/ice/fin/nor
109N,OR procedure for thoracic aortic aneurysm,OR procedure for thoracic aortic aneurysm,5.0,est/swe/lat/ice/fin/nor
110M,"Major cardiovascular procedures, w MCC                               ","Major cardiovascular procedures, w MCC                               ",5.0,swe
110O,"Major cardiovascular procedures, short therapy","Major cardiovascular procedures, short therapy",5.0,fin
110X,Major cardiovascular procedures w cc,Major cardiovascular procedures w cc,5.0,est/lat/ice/fin/nor
111O,"Major cardiovascular procedures, short therapy","Major cardiovascular procedures, short therapy",5.0,est/swe/lat/ice/nor
111X,"Major cardiovascular procedures, w/o CC","Major cardiovascular procedures, w/o CC",5.0,est/swe/lat/ice/fin/nor
112A,Other percutaneous cardiovascular procedures and hyperthermic perfusion ,Other percutaneous cardiovascular procedures and hyperthermic perfusion ,5.0,est/swe/lat/ice/fin/nor
112B,Percutaneuous ablations for cardiac arrhytmia,Percutaneuous ablations for cardiac arrhytmia,5.0,est/lat/ice/fin/nor
112C,"PCI w/o myocardial infarction, w/o cc","PCI w/o myocardial infarction, w/o cc",5.0,est/lat/ice/fin/nor
112D,"PCI w/o myocardial infarction, w CC","PCI w/o myocardial infarction, w CC",5.0,est/lat/ice/fin/nor
112E,"PCI w myocardial infarction, w/o cc","PCI w myocardial infarction, w/o cc",5.0,est/lat/ice/fin/nor
112F,"PCI w myocardial infarction, w cc","PCI w myocardial infarction, w cc",5.0,est/lat/ice/fin/nor
112G,"Percutaneous ablations for cardiac arrhythmia, w CC","Percutaneous ablations for cardiac arrhythmia, w CC",5.0,swe
112H,"Percutaneous ablations for cardiac arrhythmia, w/o CC","Percutaneous ablations for cardiac arrhythmia, w/o CC",5.0,swe
112J,PCI with myocardial infarction,PCI with myocardial infarction,5.0,swe
112K,"PCI without myocardial infarction, w MCC","PCI without myocardial infarction, w MCC",5.0,swe
112L,"PCI without myocardial infarction, w/o CC","PCI without myocardial infarction, w/o CC",5.0,swe
112P,"Percutaneous ablations for cardiac arrhythmia, short therapy","Percutaneous ablations for cardiac arrhythmia, short therapy",5.0,swe/fin/ice/nor/est/lat
112Q,"Other percutaneous cardiovascular procedures, short therapy","Other percutaneous cardiovascular procedures, short therapy",5.0,swe/fin/ice/nor/est/lat
113FA,Amputation  for circulatory system disorders except upper limb and toe,Amput for circ syst disord except upp limb and toe,5.0,fin
113FB,Extensive corrective procedures after amputation for circulatory system disorders of lower limb except toe,Ext corr proc after amput for circ dis of lower limb,5.0,fin
113G,"Amputation  for circulatory system disorders except upper limb and toe, w MCC","Amputation  for circulatory system disorders except upper limb and toe, w MCC",5.0,swe
113H,"Amputation  for circulatory system disorders except upper limb and toe, w/o CC","Amputation  for circulatory system disorders except upper limb and toe, w/o CC",5.0,swe
113O,"Amputation  for circulatory system disorders except upper limb and toe, short therapy","Amputation  for circulatory system disorders except upper limb and toe, short therapy",5.0,est/swe/lat/ice/fin/nor
113X,Amputation  for circulatory system disorders except upper limb and toe,Amput for circ syst disord except upp limb and toe,5.0,est/lat/ice/nor
114C,"Upper limb & toe amputation for circulatory system disorders, w CC","Upper limb & toe amputation for circulatory system disorders, w CC",5.0,swe
114N,"Upper limb & toe amputation for circulatory system disorder, w/o CC","Upper limb & toe amputation for circulatory system disorder, w/o CC",5.0,swe
114O,"Upper limb & toe amputation for circulatory system disorder, short therapy","Upper limb & toe amputation for circulatory system disorder, short therapy",5.0,est/swe/lat/ice/fin/nor
114X,Upper limb & toe amputation for circulatory system disorder,Upper limb & toe amputation for circulatory system disorder,5.0,est/lat/ice/fin/nor
115A,Removal of permanent cardiac pacemaker or defibrillator,Removal of permanent cardiac pacemaker or defibrillator,5.0,est/lat/ice/fin/nor
115AM,"Removal of permanent cardiac pacemaker or defibrillator, w MCC","Removal of permanent cardiac pacemaker or defibrillator, w MCC",5.0,swe
115AN,"Removal of permanent cardiac pacemaker or defibrillator, w/o CC","Removal of permanent cardiac pacemaker or defibrillator, w/o CC",5.0,swe
115B,Revison of cardiac pacemaker or implantation or replacement of cardiac defibrillator,Revison of cardiac pacemaker or implantation or replacement,5.0,est/lat/ice/fin/nor
115C,Implantation or replacement of cardiac defibrillator,Implantation or replacement of cardiac defibrillator,5.0,est/lat/ice/fin/nor
115O,"Removal of permanent cardiac pacemaker or defibrillator, short therapy","Removal of permanent cardiac pacemaker or defibrillator, short therapy",5.0,est/swe/lat/ice/fin/nor
116C,"Insertion or replacement of permanent cardiac pacemaker or loop recorder, w CC","Insertion or replacement of permanent cardiac pacemaker or loop recorder, w CC",5.0,swe
116M,"Insertion or replacement of permanent cardiac pacemaker or loop recorder, w MCC","Insertion or replacement of permanent cardiac pacemaker or loop recorder, w MCC",5.0,swe
116N,"Insertion or replacement of permanent cardiac pacemaker or loop recorder, w/o CC","Insertion or replacement of permanent cardiac pacemaker or loop recorder, w/o CC",5.0,swe
116O,"Insertion or replacement of permanent cardiac pacemaker or loop recorder, short therapy","Insertion or replacement of permanent cardiac pacemaker or loop recorder, short therapy",5.0,est/swe/lat/ice/fin/nor
117G,"Implantation or replacement of cardiac defibrillator, w MCC","Implantation or replacement of cardiac defibrillator, w MCC",5.0,swe
117H,"Implantation or replacement of cardiac defibrillator, w/o CC","Implantation or replacement of cardiac defibrillator, w/o CC",5.0,swe
117O,"Insertion or replacement of internal defibrillator, short therapy                                  ","Insertion or replacement of internal defibrillator, short therapy                                  ",5.0,est/swe/lat/ice/fin/nor
119O,"Vein ligation & stripping, short therapy","Vein ligation & stripping, short therapy",5.0,est/swe/lat/ice/fin/nor
119P,"Vein ligation & stripping, bilateral, short therapy","Vein ligation & stripping, bilateral, sh. th.",5.0,fin
119X,Vein ligation & stripping,Vein ligation & stripping,5.0,est/swe/lat/ice/fin/nor
120C,"Other circulatory system OR procedures,  w CC","Other circulatory system OR procedures,  w CC",5.0,swe
120N,"Other circulatory system OR procedures, w/o CC","Other circulatory system OR procedures, w/o CC",5.0,swe
120O,"Other circulatory system OR procedures, short therapy","Other circulatory system OR procedures, short therapy",5.0,est/swe/lat/ice/fin/nor
120X,Other circulatory system o. r. procedures,Other circulatory system o. r. procedures,5.0,est/lat/ice/fin/nor
121G,"Other circulatory disorders with myocardial infarction and cardiovascular complication alive at 4th day of care, w MCC","Other circulatory disorders with myocardial infarction and cardiovascular complication alive at 4th day of care, w MCC",5.0,swe
121H,"Other circulatory disorders with myocardial infarction and cardiovascular complication, alive at 4th day of care, w/o CC    ","Other circulatory disorders with myocardial infarction and cardiovascular complication, alive at 4th day of care, w/o CC    ",5.0,swe
121X,Other circulatory disorders with ami and cardiovascular complication alive at 4th day of care,Other circulatory disorders with ami,5.0,est/lat/ice/fin/nor
122C,"Other circulatory diseases with acute myocardial infarction without cardiovascular complications, alive at 4th day of care,  w CC","Other circulatory diseases with acute myocardial infarction without cardiovascular complications, alive at 4th day of care,  w CC",5.0,swe
122M,"Other circulatory disorders with myocardial infarction, without cardiovascular complication, alive at 4th day of care, w MCC","Other circulatory disorders with myocardial infarction, without cardiovascular complication, alive at 4th day of care, w MCC",5.0,swe
122N,"Other circulatory diseases with acute myocardial infarction without cardiovascular complications, alive at 4th day of care, w/o CC","Other circulatory diseases with acute myocardial infarction without cardiovascular complications, alive at 4th day of care, w/o CC",5.0,swe
122O,Doctor visits for circulatory diseases with myocardial infarction,Doctor visits for circulatory diseases with myocardial infarction,5.0,swe
122X,"Other circulatory disorders with ami without cardiovascular complications, alive at 4th day of care","Oth circ dis w ami w/o c.v. compl, alive at 4th day of care",5.0,est/lat/ice/fin/nor
123X,"Other circulatory disorders with myocardial infarction, death within first 3 days of care","Other circulatory disorders with myocardial infarction, death within first 3 days of care",5.0,est/swe/lat/ice/fin/nor
124M,"Diagnostic percutaneous cardiac procedures with circulatory complex diagnosis,  w MCC ","Diagnostic percutaneous cardiac procedures with circulatory complex diagnosis,  w MCC ",5.0,swe
124N,"Diagnostic percutaneous cardiac procedures with circulatory complex diagnosis,  w/o CC ","Diagnostic percutaneous cardiac procedures with circulatory complex diagnosis,  w/o CC ",5.0,swe
